"시점","행정구역별(1)",데이터
"2019","서울특별시",13.5
"2019","부산광역시",15.7
"2019","대구광역시",14.8
"2019","인천광역시",12.5
"2019","광주광역시",14.7
"2019","대전광역시",14.0
"2019","울산광역시",14.9
"2019","경기도",12.3
"2019","강원도",12.0
"2019","충청북도",12.4
"2019","충청남도",12.7
"2019","전라북도",13.1
"2019","전라남도",14.2
"2019","경상북도",13.3
"2019","경상남도",14.4
"2019","제주특별자치도",16.6
"2020","전국(평균)",13.2
"2020","서울특별시",13.2
"2020","부산광역시",15.2
"2020","대구광역시",14.5
"2020","인천광역시",12.3
"2020","광주광역시",14.5
"2020","대전광역시",13.7
"2020","울산광역시",14.6
"2020","세종특별자치시",13.1
"2020","경기도",12.2
"2020","강원도",11.7
"2020","충청북도",12.1
"2020","충청남도",12.7
"2020","전라북도",13.0
"2020","전라남도",14.1
"2020","경상북도",13.0
"2020","경상남도",14.1
"2020","제주특별자치도",16.4
