종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2020.12),추정PERlEPS,PBRlBPS (2020.12),배당수익률,동일업종 PER,동일업종 등락률,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),PERlEPS(2021.03),PBRlBPS (2021.03),배당수익률l2020.12,PERlEPS(2021.05),PBRlBPS (2021.05),배당수익률l2020.11,PERlEPS(2020.06),PBRlBPS (2020.06)
신신제약 *,8300.0,40.0,-0.48%,8240.0,8340.0,5469.0,46.0,151808.0,2021-07-30,신신제약,002800,"1,283  억원",코스닥 822위,15170500,500원  l  1주,15170500,237394,1.56%,N/A  l  N/A,"13,050  l  7,510",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -82원,"2.32배  l  3,651원",,,,,,
경동제약 *,10300.0,50.0,-0.48%,10300.0,10350.0,1558.0,16.0,41142.0,2021-07-30,경동제약,011040,"3,185  억원",코스닥 326위,30768766,500원  l  1주,30768766,1967468,6.39%,N/A  l  N/A,"16,400  l  9,120",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,26.68배  l  388원,"1.12배  l  9,279원",4.83%,,,,,
코스맥스엔비티 *,10350.0,50.0,-0.48%,10500.0,10550.0,2214.0,23.0,69428.0,2021-07-30,코스맥스엔비티,222040,"2,104  억원",코스닥 530위,20628000,500원  l  1주,20628000,324438,1.57%,"4.00매수  l  13,633","12,900  l  7,000",,32.00배  l  322원,,,104.30배,-1.44%,826.0,42.0,30.0,5.07,3.63,,,,,133.0,78.01,,,,,,N/A  l  -386원,"3.52배  l  2,896원",,,,,,
종근당홀딩스,101500.0,500.0,-0.49%,102000.0,102500.0,198.0,20.0,44811.0,2021-07-30,종근당홀딩스,001630,"5,060  억원",코스피 354위,5009861,"2,500원  l  1주",5009861,470142,9.38%,"4.00매수  l  166,000","156,000  l  95,500",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"7.07배  l  14,277원","0.94배  l  108,019원",1.39%,,,,,
대성미생물 *,19000.0,100.0,-0.52%,19100.0,19150.0,436.0,8.0,11129.0,2021-07-30,대성미생물,036480,714  억원,코스닥 1230위,3800000,500원  l  1주,3800000,72049,1.90%,N/A  l  N/A,"27,250  l  14,700",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,93.07배  l  202원,"1.98배  l  9,477원",0.45%,,,,,
큐브앤컴퍼니 *,2700.0,15.0,-0.55%,2695.0,2715.0,10903.0,29.0,372514.0,2021-07-30,큐브앤컴퍼니,043090,888  억원,코스닥 1078위,32590313,500원  l  1주,32590313,401884,1.23%,N/A  l  N/A,"3,530  l  1,125",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -232원,3.90배  l  698원,,,,,,
우진비앤지 *,2645.0,15.0,-0.56%,2635.0,2660.0,6627.0,18.0,83342.0,2021-07-30,우진비앤지,018620,763  억원,코스닥 1188위,28889293,500원  l  1주,28889293,949734,3.29%,N/A  l  N/A,"4,230  l  2,450",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -111원,"2.35배  l  1,125원",,,,,,
진양제약 *,7010.0,40.0,-0.57%,7050.0,7070.0,31978.0,225.0,518932.0,2021-07-30,진양제약,007370,834  억원,코스닥 1132위,12000000,500원  l  1주,12000000,231368,1.93%,N/A  l  N/A,"11,450  l  5,360",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,20.38배  l  341원,"1.69배  l  4,111원",1.44%,,,,,
동성제약,9620.0,60.0,-0.62%,9680.0,9700.0,943.0,9.0,83231.0,2021-07-30,동성제약,002210,"2,493  억원",코스피 561위,26100970,"1,000원  l  1주",26100970,1263819,4.84%,N/A  l  N/A,"17,000  l  9,350",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -372원,"4.13배  l  2,310원",,,,,,
대한약품 *,32300.0,200.0,-0.62%,32200.0,32700.0,554.0,18.0,17258.0,2021-07-30,대한약품,023910,"1,932  억원",코스닥 574위,6000000,500원  l  1주,6000000,1017136,16.95%,"4.00매수  l  40,000","47,700  l  29,000",,N/A  l  N/A,,,104.30배,-1.44%,408.0,68.0,,16.67,,,,,,,,,,,,,"12.41배  l  2,595원","1.04배  l  30,822원",1.24%,,,,,
디에이치피코리아 *,8010.0,50.0,-0.62%,8050.0,8060.0,1844.0,15.0,52907.0,2021-07-30,디에이치피코리아,131030,"1,320  억원",코스닥 799위,16564797,500원  l  1주,16564797,956365,5.77%,N/A  l  N/A,"9,450  l  7,470",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,10.95배  l  728원,"1.07배  l  7,424원",1.25%,,,,,
옵티팜 *,16000.0,100.0,-0.62%,16250.0,16300.0,32787.0,528.0,539551.0,2021-07-30,옵티팜,153710,"2,385  억원",코스닥 461위,14589458,500원  l  1주,14589458,42085,0.29%,N/A  l  N/A,"31,150  l  9,910",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -221원,"7.26배  l  2,253원",,,,,,
한올바이오파마,22900.0,150.0,-0.65%,22150.0,23000.0,23617.0,541.0,303794.0,2021-07-30,한올바이오파마,009420,"1조  1,597  억원",코스피 208위,52240638,500원  l  1주,52240638,3017820,5.78%,"5.00매수  l  46,000","41,950  l  19,350",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,56.78배  l  391원,"6.95배  l  3,193원",,,,,,
씨티씨바이오 *,9200.0,60.0,-0.65%,9240.0,9260.0,9125.0,84.0,266062.0,2021-07-30,씨티씨바이오,060590,"2,131  억원",코스닥 521위,22674323,500원  l  1주,22674323,731092,3.22%,N/A  l  N/A,"12,650  l  5,680",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,N/A  l  -827원,"2.38배  l  3,945원",,,,,,
티움바이오 *,23000.0,150.0,-0.65%,23400.0,23500.0,45971.0,1057.0,2732335.0,2021-07-30,티움바이오,321550,"5,277  억원",코스닥 162위,23821926,500원  l  1주,23821926,11724,0.05%,N/A  l  N/A,"29,650  l  13,400",,N/A  l  N/A,,,104.30배,-1.44%,,,,,,,,,,,,,,,,,N/A  l  -580원,"6.65배  l  3,333원",,,,,,
에이프로젠 H&G *,885.0,6.0,-0.67%,900.0,904.0,29546.0,26.0,785001.0,2021-07-30,에이프로젠 H&G,109960,"1,558  억원",코스닥 683위,178695217,500원  l  1주,178695217,3159210,1.77%,N/A  l  N/A,"1,365  l  612",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,12.82배  l  68원,"0.69배  l  1,268원",,,,,,
동화약품,14500.0,100.0,-0.68%,14600.0,14650.0,7302.0,105.0,83468.0,2021-07-30,동화약품,000020,"4,050  억원",코스피 405위,27931470,"1,000원  l  1주",27931470,716015,2.56%,N/A  l  N/A,"34,450  l  13,400",,N/A  l  N/A,,,104.30배,-1.45%,,,,,,,,,,,,,,,,,"12.78배  l  1,135원","1.21배  l  11,941원",1.24%,,,,,
엔지켐생명과학 *,87100.0,600.0,-0.68%,87700.0,88000.0,3147.0,274.0,64332.0,2021-07-30,엔지켐생명과학,183490,"7,098  억원",코스닥 107위,8331345,500원  l  1주,8331345,699769,8.40%,N/A  l  N/A,"184,900  l  80,700",,N/A  l  N/A,,,104.30배,-1.39%,,,,,,,,,,,,,,,,,"N/A  l  -2,455원","7.76배  l  10,981원",,,,,,
화일약품 *,3615.0,25.0,-0.69%,3640.0,3645.0,42448.0,153.0,460314.0,2021-07-30,화일약품,061250,"2,363  억원",코스닥 459위,65633553,500원  l  1주,65633553,730367,1.11%,N/A  l  N/A,"5,933  l  3,153",,N/A  l  N/A,,,104.30배,-1.45%,,,,,,,,,,,,,,,,,112.50배  l  32원,"1.32배  l  2,720원",,,,,,
