날짜,종가,전일비,시가,고가,저가,거래량,종목코드,종목명
2021.05.18,113000.0,2000.0,112000.0,113000.0,110500.0,223112.0,352820,하이브
2021.05.17,111000.0,500.0,111500.0,114000.0,110000.0,352455.0,352820,하이브
2021.05.14,110500.0,2500.0,108500.0,112000.0,108500.0,225513.0,352820,하이브
2021.05.13,108000.0,500.0,106500.0,109000.0,105000.0,303192.0,352820,하이브
2021.05.12,107500.0,1000.0,108000.0,114500.0,107000.0,860584.0,352820,하이브
2021.05.11,106500.0,3000.0,109000.0,109000.0,106000.0,210598.0,352820,하이브
2021.05.10,109500.0,1500.0,108500.0,110000.0,107500.0,212041.0,352820,하이브
2021.05.07,108000.0,2000.0,106500.0,108500.0,106000.0,174741.0,352820,하이브
2021.05.06,106000.0,1500.0,104000.0,107500.0,103500.0,264179.0,352820,하이브
2021.05.04,104500.0,500.0,103500.0,105500.0,102500.0,445119.0,352820,하이브
2021.04.19,113500.0,2000.0,111000.0,115500.0,110500.0,622540.0,352820,하이브
2021.04.16,111500.0,500.0,112500.0,113500.0,111000.0,242747.0,352820,하이브
2021.04.15,112000.0,500.0,112000.0,112000.0,109000.0,292030.0,352820,하이브
2021.04.14,111500.0,2500.0,114500.0,115000.0,111000.0,389050.0,352820,하이브
2021.04.13,114000.0,4000.0,111000.0,115500.0,111000.0,906936.0,352820,하이브
2021.04.12,110000.0,1000.0,110000.0,110500.0,107000.0,374629.0,352820,하이브
2021.04.09,109000.0,3500.0,106500.0,109500.0,105500.0,645787.0,352820,하이브
2021.04.08,105500.0,3000.0,102500.0,107000.0,101500.0,609482.0,352820,하이브
2021.04.07,102500.0,500.0,101500.0,103000.0,101000.0,252175.0,352820,하이브
2021.04.06,102000.0,1500.0,104000.0,104500.0,101000.0,346579.0,352820,하이브
2021.03.22,105000.0,2000.0,107500.0,107500.0,103500.0,403798.0,352820,하이브
2021.03.19,107000.0,3500.0,108000.0,109000.0,106000.0,472786.0,352820,하이브
2021.03.18,110500.0,1000.0,115000.0,115500.0,109500.0,657728.0,352820,하이브
2021.03.17,111500.0,1500.0,110500.0,111500.0,108500.0,344258.0,352820,하이브
2021.03.16,110000.0,1000.0,111000.0,111500.0,109500.0,323446.0,352820,하이브
2021.03.15,109000.0,500.0,109500.0,112500.0,108500.0,407201.0,352820,하이브
2021.03.12,108500.0,2500.0,107500.0,110500.0,107000.0,414138.0,352820,하이브
2021.03.11,106000.0,2000.0,104000.0,107000.0,103500.0,366145.0,352820,하이브
2021.03.10,104000.0,4000.0,110000.0,110500.0,103500.0,508231.0,352820,하이브
2021.03.09,108000.0,1500.0,107000.0,111000.0,105500.0,497927.0,352820,하이브
2021.02.19,150000.0,1000.0,149000.0,150000.0,147500.0,115513.0,352820,하이브
2021.02.18,149000.0,1500.0,150000.0,150500.0,148000.0,168080.0,352820,하이브
2021.02.17,150500.0,1000.0,152000.0,152500.0,149500.0,154223.0,352820,하이브
2021.02.16,151500.0,500.0,152500.0,153000.0,151000.0,145400.0,352820,하이브
2021.02.15,152000.0,500.0,153000.0,153500.0,151000.0,149945.0,352820,하이브
2021.02.10,152500.0,3000.0,149500.0,153000.0,149000.0,441432.0,352820,하이브
2021.02.09,149500.0,0.0,150000.0,150500.0,148500.0,211201.0,352820,하이브
2021.02.08,149500.0,500.0,149000.0,150000.0,148000.0,171881.0,352820,하이브
2021.02.05,149000.0,500.0,150500.0,151000.0,148500.0,145785.0,352820,하이브
2021.02.04,149500.0,0.0,149500.0,149500.0,147500.0,128877.0,352820,하이브
2021.01.20,148000.0,0.0,147500.0,148000.0,146000.0,243971.0,352820,하이브
2021.01.19,148000.0,0.0,146500.0,148000.0,145000.0,274255.0,352820,하이브
2021.01.18,148000.0,5000.0,151500.0,151500.0,147000.0,419631.0,352820,하이브
2021.01.15,153000.0,2000.0,156000.0,156500.0,152500.0,253543.0,352820,하이브
2021.01.14,155000.0,2000.0,153500.0,156500.0,152000.0,286485.0,352820,하이브
2021.01.13,153000.0,1500.0,154500.0,154500.0,152000.0,262693.0,352820,하이브
2021.01.12,154500.0,1500.0,155500.0,156000.0,152500.0,400078.0,352820,하이브
2021.01.11,156000.0,3500.0,159000.0,159500.0,154500.0,610221.0,352820,하이브
2021.01.08,159500.0,1000.0,159500.0,161000.0,155000.0,703920.0,352820,하이브
2021.01.07,158500.0,1000.0,160000.0,160500.0,157500.0,486353.0,352820,하이브
2020.12.18,181500.0,5000.0,178000.0,181500.0,176500.0,958573.0,352820,하이브
2020.12.17,176500.0,2000.0,175500.0,176500.0,174000.0,232821.0,352820,하이브
2020.12.16,174500.0,3000.0,172000.0,174500.0,171500.0,159569.0,352820,하이브
2020.12.15,171500.0,500.0,170500.0,171500.0,169500.0,164389.0,352820,하이브
2020.12.14,171000.0,3500.0,173500.0,173500.0,170000.0,183234.0,352820,하이브
2020.12.11,174500.0,4000.0,178000.0,178500.0,174000.0,180849.0,352820,하이브
2020.12.10,178500.0,6000.0,171000.0,178500.0,168500.0,396257.0,352820,하이브
2020.12.09,172500.0,1000.0,173000.0,173500.0,171500.0,142802.0,352820,하이브
2020.12.08,171500.0,2500.0,172500.0,174000.0,171000.0,160435.0,352820,하이브
2020.12.07,174000.0,2500.0,177500.0,177500.0,171500.0,255183.0,352820,하이브
2020.11.20,170000.0,0.0,170000.0,171500.0,168500.0,171685.0,352820,하이브
2020.11.19,170000.0,2000.0,168000.0,171000.0,166500.0,231212.0,352820,하이브
2020.11.18,168000.0,1500.0,168000.0,168500.0,166500.0,171256.0,352820,하이브
2020.11.17,166500.0,1500.0,168500.0,168500.0,166000.0,142976.0,352820,하이브
2020.11.16,168000.0,2000.0,166500.0,169000.0,165000.0,186207.0,352820,하이브
2020.11.13,166000.0,2500.0,162000.0,167000.0,162000.0,209594.0,352820,하이브
2020.11.12,163500.0,3500.0,168500.0,169000.0,161500.0,295225.0,352820,하이브
2020.11.11,167000.0,2500.0,172000.0,172500.0,167000.0,553516.0,352820,하이브
2020.11.10,169500.0,500.0,170000.0,170500.0,162000.0,400127.0,352820,하이브
2020.11.09,169000.0,500.0,170000.0,171500.0,168500.0,340747.0,352820,하이브
2020.10.23,161000.0,1500.0,161000.0,162000.0,159500.0,191225.0,352820,하이브
2020.10.22,162500.0,1000.0,161000.0,163500.0,158000.0,287992.0,352820,하이브
2020.10.21,161500.0,6500.0,156000.0,162000.0,154500.0,449038.0,352820,하이브
2020.10.20,155000.0,500.0,153500.0,156000.0,152500.0,232226.0,352820,하이브
2020.10.19,154500.0,1000.0,151000.0,156000.0,149000.0,270633.0,352820,하이브
